2020-10-01,S
2020-10-02,S
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,C
2020-10-07,C
2020-10-08,C
2020-10-09,C
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,S
2020-10-14,S
2020-10-15,
2020-10-16,N
2020-10-17,N
2020-10-18,N
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,N
2020-10-27,N
2020-10-28,N
2020-10-29,N
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,L
2020-11-03,L
2020-11-04,L
2020-11-05,
2020-11-06,S
2020-11-07,C
2020-11-08,C
2020-11-09,C
2020-11-10,
2020-11-11,
2020-11-12,L
2020-11-13,L
2020-11-14,
2020-11-15,
2020-11-16,S
2020-11-17,S
2020-11-18,S
2020-11-19,S
2020-11-20,S
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,C
2020-11-25,C
2020-11-26,C
2020-11-27,C
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,S
2020-12-02,S
2020-12-03,
2020-12-04,N
2020-12-05,N
2020-12-06,N
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,N
2020-12-15,N
2020-12-16,N
2020-12-17,N
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,L
2020-12-22,L
2020-12-23,L
2020-12-24, 
2020-12-25,S
2020-12-26,C
2020-12-27,C
2020-12-28,C
2020-12-29,
2020-12-30,
2020-12-31,L
2020-01-01,L
2020-01-02,
2020-01-03,
2020-01-04,S
2020-01-05,S
2020-01-06,S
2020-01-07,S
2020-01-08,S
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,C
2020-01-13,C
2020-01-14,C
2020-01-15,C
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,S
2020-01-20,S
2020-01-21,
2020-01-22,N
2020-01-23,N
2020-01-24,N
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,N
2020-02-02,N
